Mon Aug  3 01:56:27 2026    /unix/cedar/junyingwu/contur_compare/dissertation_runs/observable_isolated_20260803T004228+0100/profiles/modified/profile.prof

         736177812 function calls (720289517 primitive calls) in 534.094 seconds

   Ordered by: internal time
   List reduced from 6217 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      303   25.705    0.085   26.781    0.088 file_readers.py:15(get_histos)
13819490/718384   25.119    0.000   66.972    0.000 arrayprint.py:789(recurser)
     1078   20.383    0.019   26.598    0.025 build_covariance.py:31(<listcomp>)
   718384   17.987    0.000   52.575    0.000 arrayprint.py:934(fillFormat)
 10497520   15.992    0.000   21.621    0.000 arrayprint.py:1018(__call__)
  2065297   13.699    0.000   13.699    0.000 {built-in method posix.stat}
  2059679   12.924    0.000   44.078    0.000 <frozen importlib._bootstrap_external>:1514(find_spec)
      172   11.285    0.066   11.287    0.066 data_objects.py:83(__init__)
   120500   11.007    0.000  152.232    0.001 yoda_factories.py:303(root_n_errors)
   120500   10.844    0.000  225.089    0.002 test_observable.py:399(add_signal_component)
     5390   10.579    0.002   11.048    0.002 build_covariance.py:57(_getBreakdownAttr)
  2058444   10.250    0.000   71.092    0.000 <frozen importlib._bootstrap>:901(_find_spec)
117887337/117884877    7.362    0.000    7.362    0.000 {built-in method builtins.len}
4044755/3545171    6.979    0.000  149.293    0.000 {method 'format' of 'str' objects}
2058490/2057091    6.636    0.000  109.679    0.000 <frozen importlib._bootstrap>:1002(_find_and_load)
 15219456    6.500    0.000    6.500    0.000 {built-in method numpy.core._multiarray_umath.dragon4_positional}
  2240385    6.487    0.000    6.487    0.000 {method 'reduce' of 'numpy.ufunc' objects}
 10497520    6.457    0.000   17.286    0.000 arrayprint.py:753(_extendLine_pretty)
 10497520    6.431    0.000    8.635    0.000 arrayprint.py:739(_extendLine)
       70    5.770    0.082   74.046    1.058 yoda_factories.py:161(load_ref_aos)
2058460/2057091    5.679    0.000   80.759    0.000 <frozen importlib._bootstrap>:967(_find_and_load_unlocked)
 10298904    5.501    0.000   14.141    0.000 <frozen importlib._bootstrap_external>:121(_path_join)
  2059708    5.101    0.000    8.339    0.000 <frozen importlib._bootstrap>:166(_get_module_lock)
 10298904    4.995    0.000    6.896    0.000 <frozen importlib._bootstrap_external>:123(<listcomp>)
  2058441    4.953    0.000   52.116    0.000 <frozen importlib._bootstrap_external>:1383(_get_spec)
   126705    4.569    0.000   31.982    0.000 utils.py:117(mkPlotFriendlyScatter)
  1146147    4.530    0.000    7.527    0.000 signal.py:230(signal)
  6351575    4.473    0.000    9.310    0.000 {built-in method builtins.max}
   377770    4.376    0.000    4.376    0.000 {method 'execute' of 'sqlite3.Cursor' objects}
  8172736    3.700    0.000    6.511    0.000 arrayprint.py:984(<genexpr>)
   718384    3.686    0.000  132.055    0.000 arrayprint.py:523(_array2string)
   206000    3.619    0.000    7.323    0.000 _basic.py:900(inv)
  5775584    3.492    0.000    3.492    0.000 {built-in method numpy.core._multiarray_umath.dragon4_scientific}
  2059708    3.439    0.000    4.065    0.000 <frozen importlib._bootstrap>:87(acquire)
  2059708    3.330    0.000    3.953    0.000 <frozen importlib._bootstrap>:112(release)
  2093039    3.228    0.000    5.406    0.000 posixpath.py:150(dirname)
  2093035    3.194    0.000    7.191    0.000 aopaths.py:72(__init__)
  1266682    3.124    0.000    4.042    0.000 numeric.py:136(ones)
 28508748    3.018    0.000    3.018    0.000 {method 'rstrip' of 'str' objects}
  8172736    3.002    0.000   10.722    0.000 arrayprint.py:989(<genexpr>)
   718384    2.976    0.000   60.479    0.000 arrayprint.py:452(_get_format_function)
  3135800    2.895    0.000   11.245    0.000 tracer.py:41(f_wrapped)
    82156    2.832    0.000    7.772    0.000 _distn_infrastructure.py:2169(logsf)
 17381935    2.793    0.000    2.796    0.000 {built-in method builtins.isinstance}
  2093035    2.722    0.000   25.505    0.000 utils.py:36(splitPath)
    13525    2.603    0.000    2.603    0.000 {built-in method posix.scandir}
      300    2.531    0.008    2.531    0.008 {method 'commit' of 'sqlite3.Connection' objects}
   120500    2.438    0.000   10.655    0.000 test_observable.py:201(__getThy)
  2505885    2.409    0.000    2.409    0.000 {method 'match' of 're.Pattern' objects}
  1858448    2.386    0.000    2.544    0.000 reader.py:99(forward)


