model_name,model_version,run_point,yoda_files,map_name,stat_type,combined_exclusion
,,0000,"['/unix/cedar/junyingwu/contur_compare/grid_snapshot/13TeV/0000/runpoint_0000.yoda.gz', '/unix/cedar/junyingwu/contur_compare/grid_snapshot/7TeV/0000/runpoint_0000.yoda.gz', '/unix/cedar/junyingwu/contur_compare/grid_snapshot/8TeV/0000/runpoint_0000.yoda.gz']",my_run,EXP,0.71321243521135846
,,0000,"['/unix/cedar/junyingwu/contur_compare/grid_snapshot/13TeV/0000/runpoint_0000.yoda.gz', '/unix/cedar/junyingwu/contur_compare/grid_snapshot/7TeV/0000/runpoint_0000.yoda.gz', '/unix/cedar/junyingwu/contur_compare/grid_snapshot/8TeV/0000/runpoint_0000.yoda.gz']",my_run,HLEXP,1
,,0000,"['/unix/cedar/junyingwu/contur_compare/grid_snapshot/13TeV/0000/runpoint_0000.yoda.gz', '/unix/cedar/junyingwu/contur_compare/grid_snapshot/7TeV/0000/runpoint_0000.yoda.gz', '/unix/cedar/junyingwu/contur_compare/grid_snapshot/8TeV/0000/runpoint_0000.yoda.gz']",my_run,SMBG,0.58417918635755983
,,0001,"['/unix/cedar/junyingwu/contur_compare/grid_snapshot/13TeV/0001/runpoint_0001.yoda.gz', '/unix/cedar/junyingwu/contur_compare/grid_snapshot/7TeV/0001/runpoint_0001.yoda.gz', '/unix/cedar/junyingwu/contur_compare/grid_snapshot/8TeV/0001/runpoint_0001.yoda.gz']",my_run,EXP,0.8436154175085363
,,0001,"['/unix/cedar/junyingwu/contur_compare/grid_snapshot/13TeV/0001/runpoint_0001.yoda.gz', '/unix/cedar/junyingwu/contur_compare/grid_snapshot/7TeV/0001/runpoint_0001.yoda.gz', '/unix/cedar/junyingwu/contur_compare/grid_snapshot/8TeV/0001/runpoint_0001.yoda.gz']",my_run,HLEXP,1
,,0001,"['/unix/cedar/junyingwu/contur_compare/grid_snapshot/13TeV/0001/runpoint_0001.yoda.gz', '/unix/cedar/junyingwu/contur_compare/grid_snapshot/7TeV/0001/runpoint_0001.yoda.gz', '/unix/cedar/junyingwu/contur_compare/grid_snapshot/8TeV/0001/runpoint_0001.yoda.gz']",my_run,SMBG,0.6886733816255477
,,0002,"['/unix/cedar/junyingwu/contur_compare/grid_snapshot/13TeV/0002/runpoint_0002.yoda.gz', '/unix/cedar/junyingwu/contur_compare/grid_snapshot/7TeV/0002/runpoint_0002.yoda.gz', '/unix/cedar/junyingwu/contur_compare/grid_snapshot/8TeV/0002/runpoint_0002.yoda.gz']",my_run,EXP,0.44464686846929546
,,0002,"['/unix/cedar/junyingwu/contur_compare/grid_snapshot/13TeV/0002/runpoint_0002.yoda.gz', '/unix/cedar/junyingwu/contur_compare/grid_snapshot/7TeV/0002/runpoint_0002.yoda.gz', '/unix/cedar/junyingwu/contur_compare/grid_snapshot/8TeV/0002/runpoint_0002.yoda.gz']",my_run,HLEXP,1
,,0002,"['/unix/cedar/junyingwu/contur_compare/grid_snapshot/13TeV/0002/runpoint_0002.yoda.gz', '/unix/cedar/junyingwu/contur_compare/grid_snapshot/7TeV/0002/runpoint_0002.yoda.gz', '/unix/cedar/junyingwu/contur_compare/grid_snapshot/8TeV/0002/runpoint_0002.yoda.gz']",my_run,SMBG,0.31505506129681737
,,0003,"['/unix/cedar/junyingwu/contur_compare/grid_snapshot/13TeV/0003/runpoint_0003.yoda.gz', '/unix/cedar/junyingwu/contur_compare/grid_snapshot/7TeV/0003/runpoint_0003.yoda.gz', '/unix/cedar/junyingwu/contur_compare/grid_snapshot/8TeV/0003/runpoint_0003.yoda.gz']",my_run,EXP,0.68256153705408584
